head,left,right,winner,sampler,score,puid,response_time,network_latency,time_received,loser,left_html,right_html,head_html,winner_html,loser_html,left_filename,right_filename,head_filename,winner_filename,loser_filename,time_received_since_start,datetime_received,start_time,puid_num_responses,num_responses
29,24,15,15,Validation,36.0,3a43681b0a4600dd,0.5729999542236328,0.08599996566772461,1670129321.665,24,<img src='/static/targets/24.JPEG' />,<img src='/static/targets/15.jpg' />,<img src='/static/targets/29.JPEG' />,<img src='/static/targets/15.jpg' />,<img src='/static/targets/24.JPEG' />,24.JPEG,15.jpg,29.JPEG,15.jpg,24.JPEG,340.019082069397,2022-12-04T04:48:41.665000,1670128981.645918,35,35
19,29,24,29,Validation,37.0,3a43681b0a4600dd,0.503000020980835,0.10900020599365234,1670129322.333,24,<img src='/static/targets/29.JPEG' />,<img src='/static/targets/24.JPEG' />,<img src='/static/targets/19.JPEG' />,<img src='/static/targets/29.JPEG' />,<img src='/static/targets/24.JPEG' />,29.JPEG,24.JPEG,19.JPEG,29.JPEG,24.JPEG,340.68708205223083,2022-12-04T04:48:42.333000,1670128981.645918,36,36
8,19,3,19,Validation,38.0,3a43681b0a4600dd,0.944000005722046,0.14599990844726562,1670129323.38,3,<img src='/static/targets/19.JPEG' />,<img src='/static/targets/3.JPEG' />,<img src='/static/targets/8.JPEG' />,<img src='/static/targets/19.JPEG' />,<img src='/static/targets/3.JPEG' />,19.JPEG,3.JPEG,8.JPEG,19.JPEG,3.JPEG,341.73408222198486,2022-12-04T04:48:43.380000,1670128981.645918,37,37
24,9,27,9,Validation,39.0,3a43681b0a4600dd,0.560999870300293,0.1010000705718994,1670129324.04,27,<img src='/static/targets/9.JPEG' />,<img src='/static/targets/27.JPEG' />,<img src='/static/targets/24.JPEG' />,<img src='/static/targets/9.JPEG' />,<img src='/static/targets/27.JPEG' />,9.JPEG,27.JPEG,24.JPEG,9.JPEG,27.JPEG,342.394082069397,2022-12-04T04:48:44.040000,1670128981.645918,38,38
0,26,9,9,Validation,40.0,3a43681b0a4600dd,1.3389999866485596,0.0989999771118164,1670129325.481,26,<img src='/static/targets/26.JPEG' />,<img src='/static/targets/9.JPEG' />,<img src='/static/targets/0.JPEG' />,<img src='/static/targets/9.JPEG' />,<img src='/static/targets/26.JPEG' />,26.JPEG,9.JPEG,0.JPEG,9.JPEG,26.JPEG,343.8350820541382,2022-12-04T04:48:45.481000,1670128981.645918,39,39
26,3,20,20,Validation,41.0,3a43681b0a4600dd,2.5420000553131104,0.10800004005432128,1670129328.189,3,<img src='/static/targets/3.JPEG' />,<img src='/static/targets/20.JPEG' />,<img src='/static/targets/26.JPEG' />,<img src='/static/targets/20.JPEG' />,<img src='/static/targets/3.JPEG' />,3.JPEG,20.JPEG,26.JPEG,20.JPEG,3.JPEG,346.5430819988251,2022-12-04T04:48:48.189000,1670128981.645918,40,40
27,19,22,22,Validation,42.0,3a43681b0a4600dd,1.614999771118164,0.16000008583068848,1670129329.89,19,<img src='/static/targets/19.JPEG' />,<img src='/static/targets/22.JPEG' />,<img src='/static/targets/27.JPEG' />,<img src='/static/targets/22.JPEG' />,<img src='/static/targets/19.JPEG' />,19.JPEG,22.JPEG,27.JPEG,22.JPEG,19.JPEG,348.2440822124481,2022-12-04T04:48:49.890000,1670128981.645918,41,41
13,15,3,3,Validation,43.0,3a43681b0a4600dd,3.1510000228881836,0.08600020408630371,1670129333.196,15,<img src='/static/targets/15.jpg' />,<img src='/static/targets/3.JPEG' />,<img src='/static/targets/13.JPEG' />,<img src='/static/targets/3.JPEG' />,<img src='/static/targets/15.jpg' />,15.jpg,3.JPEG,13.JPEG,3.JPEG,15.jpg,351.5500822067261,2022-12-04T04:48:53.196000,1670128981.645918,42,42
29,16,9,16,Validation,44.0,3a43681b0a4600dd,5.325999975204468,0.15799999237060547,1670129338.689,9,<img src='/static/targets/16.JPEG' />,<img src='/static/targets/9.JPEG' />,<img src='/static/targets/29.JPEG' />,<img src='/static/targets/16.JPEG' />,<img src='/static/targets/9.JPEG' />,16.JPEG,9.JPEG,29.JPEG,16.JPEG,9.JPEG,357.0430819988251,2022-12-04T04:48:58.689000,1670128981.645918,43,43
2,14,24,24,Validation,45.0,3a43681b0a4600dd,1.746999979019165,0.16299986839294434,1670129340.531,14,<img src='/static/targets/14.JPEG' />,<img src='/static/targets/24.JPEG' />,<img src='/static/targets/2.JPEG' />,<img src='/static/targets/24.JPEG' />,<img src='/static/targets/14.JPEG' />,14.JPEG,24.JPEG,2.JPEG,24.JPEG,14.JPEG,358.88508200645447,2022-12-04T04:49:00.531000,1670128981.645918,44,44
